date,actual_return,predicted_return,base_price,actual_price,predicted_price,abs_price_error,price_error_pct,explosion_flag
2024-05-30,0.005255137081729533,0.00015730620361864567,190.2899932861328,191.2899932861328,190.31992708256328,0.9700662035695302,0.005071181126126649,False
2024-05-31,0.005018593484036549,8.872873149812222e-05,191.2899932861328,192.25,191.30696620458536,0.9430337954146353,0.004905247310349208,False
2024-06-03,0.009258771283728873,-6.0502439737319946e-05,192.25,194.02999877929688,192.2383684059605,1.7916303733363748,0.009233780263918358,False
2024-06-04,0.0016492672588364066,8.294405415654182e-05,194.02999877929688,194.35000610351562,194.04609241402363,0.30391368949199205,0.0015637441726146389,False
2024-06-05,0.007820884826019947,-0.0004893032601103187,194.35000610351562,195.8699951171875,194.2549100119267,1.615085105260789,0.008245699420651419,False
2024-06-06,-0.007096540686677422,-0.0003274602349847555,195.8699951171875,194.47999572753906,195.80585548255996,1.3258597550209004,0.006817460839923054,False
2024-06-07,0.012392038847459208,-0.001519522862508893,194.47999572753906,196.88999938964844,194.18447892773042,2.705520461918013,0.013741279243765678,False
2024-06-10,-0.019147769232301326,-0.0005964497104287148,196.88999938964844,193.1199951171875,196.77256440652616,3.6525692893386577,0.018913470286296533,False
2024-06-11,0.07264912559045644,-0.0022120887879282236,193.1199951171875,207.14999389648438,192.69279654126402,14.457197355220359,0.06979096201395407,False
2024-06-12,0.02857839054869915,0.0018326898571103811,207.14999389648438,213.07000732421875,207.52963558919893,5.540371735019818,0.02600258856043165,False
2024-06-13,0.005491144359726752,0.013756789267063141,213.07000732421875,214.24000549316406,216.00116651410963,1.7611610209455648,0.008220504928066573,False
2024-06-14,-0.008168409051202308,0.008295772597193718,214.24000549316406,212.49000549316406,216.01729185995688,3.527286366792822,0.01659977540405446,False
2024-06-17,0.019671478976528656,0.001847600331529975,212.49000549316406,216.6699981689453,212.88260209776004,3.7873960711852703,0.017480020783643996,False
2024-06-18,-0.010984469021671939,0.004425162449479103,216.6699981689453,214.2899932861328,217.62879810877124,3.338804822638423,0.015580778044919022,False
2024-06-20,-0.021512906597537684,0.0014831179287284613,214.2899932861328,209.67999267578125,214.60781061712257,4.927817941341317,0.023501612521329016,False
2024-06-21,-0.010444426073609514,0.0009824230801314116,209.67999267578125,207.49000549316406,209.88598714002774,2.3959816468636745,0.011547455701149963,False
2024-06-24,0.00313265159417897,0.0033000388648360968,207.49000549316406,208.13999938964844,208.17473057535656,0.03473118570812517,0.0001668645421830076,False
2024-06-25,0.004468184574312861,0.003342634765431285,208.13999938964844,209.07000732421875,208.83573538768513,0.23427193653361655,0.0011205430158631768,False
2024-06-26,0.01999326794540668,0.0028460698667913675,209.07000732421875,213.25,209.66503517211407,3.5849648278859263,0.016811089462536583,False
2024-06-27,0.003985960626099017,0.0029566644225269556,213.25,214.10000610351562,213.88050868810387,0.21949741541175172,0.0010252097578438485,False
2024-06-28,-0.016254137725925877,0.0026326877996325493,214.10000610351562,210.6199951171875,214.6636645774856,4.043669460298105,0.0191988868770424,False
2024-07-01,0.029104572333703782,0.00012765522114932537,210.6199951171875,216.75,210.64688185924265,6.103118140757346,0.028157407800495252,False
2024-07-02,0.016239927439266166,0.0012333120685070753,216.75,220.27000427246094,217.0173203908489,3.252683881612029,0.01476680355255567,False
2024-07-03,0.0058110444203451905,0.003339136717841029,220.27000427246094,221.5500030517578,221.00551593156612,0.5444871201916897,0.0024576263267506626,False
2024-07-05,0.021620371113304726,0.0023482113610953093,221.5500030517578,226.33999633789062,222.07024928597465,4.269747051915971,0.01886430644605074,False
2024-07-08,0.006538884025246272,0.003937997855246067,226.33999633789062,227.82000732421875,227.23132275802564,0.588684566193109,0.002583989760632968,False
2024-07-09,0.00377484559702701,0.0027355889324098825,227.82000732421875,228.67999267578125,228.44322921483644,0.2367634609448146,0.00103534838432715,False
2024-07-10,0.018803582252402418,0.0012392036151140928,228.67999267578125,232.97999572753906,228.96337374940936,4.016621978129706,0.01724020109789592,False
2024-07-11,-0.023220827978926883,0.002923576859757304,232.97999572753906,227.57000732421875,233.66113065183444,6.091123327615691,0.026765931939957594,False
2024-07-12,0.013050867277438316,-0.0023624442983418703,227.57000732421875,230.5399932861328,227.03238585794202,3.507607428190795,0.015214745945781984,False
2024-07-15,0.01674330147811176,0.0002707362873479724,230.5399932861328,234.39999389648438,230.60240882800034,3.7975850684840395,0.016201301908570557,False
2024-07-16,0.0017918662059346335,0.0020319141913205385,234.39999389648438,234.82000732421875,234.8762745705281,0.05626724630934632,0.00023961862087695733,False
2024-07-17,-0.025295980990260425,0.0016294564120471478,234.82000732421875,228.8800048828125,235.20263629083016,6.322631408017656,0.02762421912414267,False
2024-07-18,-0.020534830945314275,-0.0010256872046738863,228.8800048828125,224.17999267578125,228.6452455903985,4.465252914617253,0.019918159784557996,False
2024-07-19,0.0005799129586043783,0.0016738323029130697,224.17999267578125,224.30999755859375,224.5552323891888,0.24523483059505224,0.00109328533397622,False
2024-07-22,-0.0015602998017738567,0.0020340129267424345,224.30999755859375,223.9600067138672,224.76624699322548,0.8062402793582919,0.0035999296981105646,False
2024-07-23,0.004688282557118395,0.0014401439111679792,223.9600067138672,225.00999450683594,224.2825413538813,0.727453152954638,0.00323298151510571,False
2024-07-24,-0.02875428371474653,0.0007936402689665556,225.00999450683594,218.5399932861328,225.18857149939652,6.648578213263704,0.030422707136074492,False
2024-07-25,-0.004804556718339459,0.0006274392362684011,218.5399932861328,217.49000549316406,218.67711385261435,1.187108359450292,0.005458220283541278,False
2024-07-26,0.002161024455525684,0.0014614330139011145,217.49000549316406,217.9600067138672,217.8078525673853,0.15215414648187675,0.0006980828674758721,False
2024-07-29,0.0012846337432190769,0.00018777674995362759,217.9600067138672,218.24000549316406,218.0009345355478,0.2390709576162635,0.0010954497415633173,False
2024-07-30,0.0025659711533103646,-0.0005400658119469881,218.24000549316406,218.8000030517578,218.12214152739807,0.6778615243597415,0.0030980873624548862,False
2024-07-31,0.014990853444005525,-0.0010741178411990404,218.8000030517578,222.0800018310547,218.56498606482552,3.515015766229169,0.015827700545964444,False
2024-08-01,-0.016750725819666967,-0.0010826543439179659,222.0800018310547,218.36000061035156,221.83956595237498,3.4795653420234203,0.015934994194437953,False
2024-08-02,0.006869389978967133,-0.0025701599661260843,218.36000061035156,219.86000061035156,217.79878047857957,2.0612201317719894,0.009375148394659569,False
2024-08-05,-0.0481669985831521,-0.0021245612297207117,219.86000061035156,209.27000427246094,219.39289457708844,10.122890304627504,0.04837239020384363,False
2024-08-06,-0.009748212850733573,-0.002050478244200349,209.27000427246094,207.22999572753906,208.84090068153654,1.6109049539974762,0.007773512460596943,False
2024-08-07,0.01249824663455068,0.0018837058451026678,207.22999572753906,209.82000732421875,207.62035608177163,2.1996512424471177,0.010483515230500232,False
2024-08-08,0.016633257613904107,-0.0011588181369006634,209.82000732421875,213.30999755859375,209.57686409424682,3.7331334643469347,0.01750097748382134,False
2024-08-09,0.013735914716165532,-0.001196275930851698,213.30999755859375,216.24000549316406,213.05481994270437,3.1851855504596926,0.014729862511774609,False
2024-08-12,0.005965562584919537,0.00026511517353355885,216.24000549316406,217.52999877929688,216.2973339997453,1.232664779551584,0.005666642699714395,False
2024-08-13,0.017193056195245138,0.00034770346246659756,217.52999877929688,221.27000427246094,217.60563471306278,3.6643695593981533,0.016560624976921994,False
2024-08-14,0.002033700635211577,0.0013240070547908545,221.27000427246094,221.72000122070312,221.56296731913127,0.15703390157185027,0.0007082532054270402,False
2024-08-15,0.01353057903429189,0.00027450057677924633,221.72000122070312,224.72000122070312,221.7808634889217,2.9391377317814147,0.013079110518937806,False
2024-08-16,0.0059184844421056315,0.0009131848346441984,224.72000122070312,226.0500030517578,224.9252121178591,1.1247909338987085,0.004975850115963809,False
2024-08-19,-0.0007078241979617816,0.0006429583299905062,226.0500030517578,225.88999938964844,226.19534378421432,0.3053443945658785,0.0013517393217535732,False
2024-08-20,0.0027446771387078517,-0.000396867748349905,225.88999938964844,226.50999450683594,225.8003509342159,0.7096435726200241,0.003132945961899299,False
2024-08-21,-0.00048563247988708813,-0.00026311795227229595,226.50999450683594,226.39999389648438,226.45039566091208,0.050401764427704165,0.00022262264039966842,False
2024-08-22,-0.008259695969967673,-0.00028561835642904043,226.39999389648438,224.52999877929688,226.33532990233212,1.805331123035245,0.008040489613193319,False
2024-08-23,0.010288146667049025,-0.0005987307522445917,224.52999877929688,226.83999633789062,224.39556576422626,2.444430573664363,0.010776012225036581,False
2024-08-26,0.0014988376978466444,0.000266640679910779,226.83999633789062,227.17999267578125,226.9004811087451,0.27951156703613833,0.0012303529185998426,False
2024-08-27,0.0037415535298863656,0.0003310423344373703,227.17999267578125,228.02999877929688,227.2551988708941,0.7747999084027697,0.003397798151780347,False
2024-08-28,-0.006753467940081581,0.000401877798140049,228.02999877929688,226.49000549316406,228.12163897311618,1.6316334799521144,0.007203997705767906,False
2024-08-29,0.014570125448949867,-0.00032439897768199444,226.49000549316406,229.7899932861328,226.4165323669269,3.373460919205911,0.014680625866093753,False
2024-08-30,-0.0034378924636161434,0.00029623135924339294,229.7899932861328,229.0,229.8580642881845,0.8580642881844938,0.0037470056252597982,False
2024-09-03,-0.027205221517637823,-0.00030957465060055256,229.0,222.77000427246094,228.92910740501247,6.159103132551536,0.027647811709060197,False
2024-09-04,-0.00861874638471094,-0.0012926340568810701,222.77000427246094,220.85000610351562,222.48204417808682,1.6320380745711986,0.007389803167160605,False
2024-09-05,0.006927773316790065,0.0007334367837756872,220.85000610351562,222.3800048828125,221.01198562168904,1.3680192611234645,0.006151718819524125,False
2024-09-06,-0.007015008203708928,-0.00014197896234691143,222.3800048828125,220.82000732421875,222.34843160047254,1.5284242762537872,0.006921584211387511,False
2024-09-09,0.00040755518026269755,-0.00020495918579399586,220.82000732421875,220.91000366210938,220.77474823531054,0.1352554267988353,0.0006122648343517926,False
2024-09-10,-0.0036213980285901837,-0.0003902518656104803,220.91000366210938,220.11000061035156,220.82379312104823,0.7137925106966634,0.0032428899582815883,False
2024-09-11,0.011585130365211915,-0.0007011007983237505,220.11000061035156,222.66000366210938,219.9556813132046,2.704322348904782,0.012145523688253597,False
2024-09-12,0.0004940295003250661,-0.0009992728009819984,222.66000366210938,222.77000427246094,222.43750557658328,0.33249869587766057,0.0014925649302003645,False
2024-09-13,-0.001212031545013148,-0.0011818914208561182,222.77000427246094,222.5,222.50671431558723,0.006714315587231567,3.0176699268456484e-05,False
2024-09-16,-0.027775247981039364,-0.0015862348955124617,222.5,216.32000732421875,222.14706273574848,5.827055411529727,0.026937200509595867,False
2024-09-17,0.0021726421320320544,-0.002165223704650998,216.32000732421875,216.7899932861328,215.85162611657006,0.9383671695627527,0.0043284616385602164,False
2024-09-18,0.017989802463465043,-0.0012549676466733217,216.7899932861328,220.69000244140625,216.5179288584362,4.172073582970057,0.018904678675137326,False
2024-09-19,0.03706553348719566,-0.001788293942809105,220.69000244140625,228.8699951171875,220.29534384680176,8.574651270385743,0.03746516124140823,False
2024-09-20,-0.002927418111763669,0.0017684407066553831,228.8699951171875,228.1999969482422,229.27473813308475,1.0747411848425656,0.004709645921188713,False
2024-09-23,-0.007581050616453089,0.0008947558235377073,228.1999969482422,226.47000122070312,228.4041802244429,1.9341790037397857,0.008540552803083438,False
2024-09-24,0.0039740093241191765,-0.0013378732837736607,226.47000122070312,227.3699951171875,226.16701305649377,1.2029820606937278,0.005290856694058095,False
2024-09-25,-0.004398117700115112,-0.0007137637585401535,227.3699951171875,226.3699951171875,227.2077066548934,0.8377115377058999,0.0037006297467658306,False
2024-09-26,0.005080219022305155,-0.0007645539008080959,226.3699951171875,227.52000427246094,226.19692305439474,1.3230812180661928,0.005815230279627499,False
